GET,POST,COOKIE,REQUEST,FILES,SESSION,elseif,for,foreach,DEF,FAF,RCF,ICF,maxWordLen,maxLineLen,entropy,Type
7,52,0,7,2,0,0.991,0.396,0.661,1,31,1,116,174,183,5.418,1
0,0,0,16,0,20,0.787,0,0,0,4,0,1,56,120,5.29,1
7,330,0,0,0,0,0.323,0.43,1.022,5,45,10,152,560,372,5.865,1
0,2,0,0,0,0,0,0,0,0,6,0,20,42,299,5.489,1
0,0,0,0,0,0,2.105,1.053,0,0,1,0,1,44,116,5.162,1
3,29,2,4,0,0,2.227,0.171,2.113,2,133,20,175,15439,15451,5.695,1
2,20,0,0,6,0,0.568,0,0,4,1,0,5,39,102,5.658,1
120,35,0,0,2,4,0.275,0.092,0.138,4,41,3,67,3147,3174,5.415,1
3,43,2,15,0,0,2.971,0.29,2.319,18,132,51,207,422,1458,5.441,1
0,21,0,0,0,0,0.113,1.809,0.075,0,135,15,352,350,604,5.522,1
16,26,2,0,2,2,3.001,0.682,0,0,55,12,16,134,324,5.889,1
0,0,0,0,0,0,0,0,0,0,0,0,0,55438,0,6.055,1
0,2,0,0,0,0,4.032,0.806,0.806,3,14,8,9,70,176,5.264,1
0,0,0,16,0,20,0.763,0,0,0,4,0,1,44,125,5.319,1
3,42,0,0,0,0,0.511,0.255,0.255,1,14,1,33,416,476,5.402,1
0,0,0,0,0,0,0.769,0,0.44,0,7,0,48,92,459,4.454,1
0,2,0,0,0,0,0,0,0,0,0,0,7,63,107,5.127,1
0,0,0,0,0,0,0.441,2.643,0.441,0,15,0,8,154,505,5.638,1
0,0,0,0,0,0,0,0,0,0,1,0,2,56,317,5.212,1
0,6,0,0,2,0,0,0,0,0,4,0,2,48,95,4.701,1
15,48,2,7,0,0,2.682,0.274,1.981,19,152,52,304,31483,31483,5.923,1
3,3,2,4,0,0,2.319,0.174,2.377,4,133,16,191,595,983,5.355,1
8,432,11,3,0,16,0.243,0.637,0.607,9,99,16,226,11596,11596,5.924,1
43,38,0,0,2,29,2.256,1.203,1.353,1,21,4,35,106,206,5.81,1
20,104,2,0,2,0,3.18,0.53,0.353,1,68,10,55,156,578,5.606,1
2,2,0,0,0,0,1.575,0.225,0,0,1,0,85,81,293,5.308,1
0,246,0,0,2,49,1.886,0.875,1.818,4,85,14,157,784,998,5.535,1
